,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
174,,Michael Folivi,eng ENG,FW,Watford,18,1998,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/a7b41270/matchlogs/2016-2017/Michael-Folivi-Match-Logs
175,,José Fonte,pt POR,DF,Southampton,32,1983,17,17,"1,530",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/90f87966/matchlogs/2016-2017/Jose-Fonte-Match-Logs
176,,José Fonte,pt POR,DF,West Ham,32,1983,16,16,"1,404",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/90f87966/matchlogs/2016-2017/Jose-Fonte-Match-Logs
177,,Adam Forshaw,eng ENG,MF,Middlesbrough,24,1991,34,30,"2,695",0,1,0,0,4,0,0.00,0.03,0.03,0.00,0.03,/en/players/9f1938ab/matchlogs/2016-2017/Adam-Forshaw-Match-Logs
178,,Fraser Forster,eng ENG,GK,Southampton,28,1988,38,38,"3,420",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,/en/players/c3e39f12/matchlogs/2016-2017/Fraser-Forster-Match-Logs
179,,Ben Foster,eng ENG,GK,West Brom,33,1983,38,38,"3,420",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/d0b3ceb9/matchlogs/2016-2017/Ben-Foster-Match-Logs
180,,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,18,1998,4,1,97,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/a9142dc3/matchlogs/2016-2017/Timothy-Fosu-Mensah-Match-Logs
181,,Simon Francis,eng ENG,DF,Bournemouth,31,1985,34,34,"2,939",0,1,0,0,4,1,0.00,0.03,0.03,0.00,0.03,/en/players/1e0b6a73/matchlogs/2016-2017/Simon-Francis-Match-Logs
182,,Ryan Fraser,sco SCO,MF,Bournemouth,22,1994,28,19,"1,764",3,5,0,0,3,0,0.15,0.26,0.41,0.15,0.41,/en/players/d56543a0/matchlogs/2016-2017/Ryan-Fraser-Match-Logs
183,,George Friend,eng ENG,DF,Middlesbrough,28,1987,24,20,"1,964",0,2,0,0,4,0,0.00,0.09,0.09,0.00,0.09,/en/players/4f97147d/matchlogs/2016-2017/George-Friend-Match-Logs
184,,Zeki Fryers,eng ENG,DF,Crystal Palace,23,1992,8,0,188,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/f58d6213/matchlogs/2016-2017/Zeki-Fryers-Match-Logs
185,,Christian Fuchs,at AUT,DF,Leicester City,30,1986,36,35,"3,103",2,3,0,0,10,0,0.06,0.09,0.15,0.06,0.15,/en/players/a67a09fb/matchlogs/2016-2017/Christian-Fuchs-Match-Logs
186,,Jay Fulton,sco SCO,MF,Swansea City,22,1994,11,9,690,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/434ad289/matchlogs/2016-2017/Jay-Fulton-Match-Logs
187,,Ramiro Funes Mori,ar ARG,DF,Everton,25,1991,23,16,"1,543",0,1,0,0,0,0,0.00,0.06,0.06,0.00,0.06,/en/players/89cbc961/matchlogs/2016-2017/Ramiro-Funes-Mori-Match-Logs
188,,Manolo Gabbiadini,it ITA,FW,Southampton,24,1991,11,10,724,4,0,0,1,1,0,0.50,0.00,0.50,0.50,0.50,/en/players/8f866fe8/matchlogs/2016-2017/Manolo-Gabbiadini-Match-Logs
189,,Brendan Galloway,eng ENG,DF,West Brom,20,1996,3,3,247,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/321506b3/matchlogs/2016-2017/Brendan-Galloway-Match-Logs
190,,Idrissa Gana Gueye,sn SEN,MF,Everton,26,1989,33,32,"2,681",1,1,0,0,11,0,0.03,0.03,0.07,0.03,0.07,/en/players/72c812f3/matchlogs/2016-2017/Idrissa-Gana-Gueye-Match-Logs
191,,Aleix García,es ESP,MF,Manchester City,19,1997,4,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/a10361d2/matchlogs/2016-2017/Aleix-Garcia-Match-Logs
192,,Craig Gardner,eng ENG,MF,West Brom,29,1986,9,2,218,0,1,0,0,1,0,0.00,0.41,0.41,0.00,0.41,/en/players/1117b9ff/matchlogs/2016-2017/Craig-Gardner-Match-Logs
193,,David de Gea,es ESP,GK,Manchester Utd,25,1990,35,35,"3,150",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/7ba6d84e/matchlogs/2016-2017/David-de-Gea-Match-Logs
194,,Rudy Gestede,bj BEN,FW,Middlesbrough,27,1988,16,4,533,1,0,0,0,3,0,0.17,0.00,0.17,0.17,0.17,/en/players/822b3ef9/matchlogs/2016-2017/Rudy-Gestede-Match-Logs
195,,Kieran Gibbs,eng ENG,"MF,DF",Arsenal,26,1989,11,8,702,0,1,0,0,3,0,0.00,0.13,0.13,0.00,0.13,/en/players/46ee5234/matchlogs/2016-2017/Kieran-Gibbs-Match-Logs
196,,Ben Gibson,eng ENG,DF,Middlesbrough,23,1993,38,38,"3,420",1,1,0,0,4,0,0.03,0.03,0.05,0.03,0.05,/en/players/bcfb0142/matchlogs/2016-2017/Ben-Gibson-Match-Logs
197,,Darron Gibson,ie IRL,MF,Sunderland,28,1987,12,7,640,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,/en/players/f0e72e1c/matchlogs/2016-2017/Darron-Gibson-Match-Logs
